day_name,season,route_id,stop_name.x,stop_name.y,stop_lat.x,stop_lon.x,stop_lat.y,stop_lon.y,avg_time
Friday,Fall,Orange,Chinatown,Oak Grove,42.352547,-71.062752,42.437735000000004,-71.070875,1419.064220183487
Friday,Fall,Orange,Chinatown,Roxbury Crossing,42.352547,-71.062752,42.330671,-71.096121,636.6719160104986
Friday,Fall,Orange,Chinatown,Ruggles,42.352547,-71.062752,42.33649,-71.089684,521.9737532808399
Friday,Fall,Orange,Chinatown,State,42.352547,-71.062752,42.358978,-71.057598,133.16753926701568
Friday,Fall,Orange,Chinatown,Stony Brook,42.352547,-71.062752,42.317062,-71.104248,866.9265091863517
Friday,Fall,Orange,Chinatown,Sullivan Square,42.352547,-71.062752,42.383975,-71.076994,678.941952506596
Friday,Fall,Orange,Chinatown,Tufts Medical Center,42.352547,-71.062752,42.349662,-71.063917,37.57291666666668
Friday,Fall,Orange,Chinatown,Wellington,42.352547,-71.062752,42.401507,-71.07715,1002.8443271767799
Friday,Fall,Orange,Community College,Assembly,42.373622,-71.069533,42.392336,-71.07718,307.7184210526312
Friday,Fall,Orange,Community College,Back Bay,42.373622,-71.069533,42.34735,-71.075727,763.9501312335957
Friday,Fall,Orange,Community College,Chinatown,42.373622,-71.069533,42.352547,-71.062752,496.11518324607323
Friday,Fall,Orange,Community College,Downtown Crossing,42.373622,-71.069533,42.355517999999996,-71.060225,400.22797927461147
Friday,Fall,Orange,Community College,Forest Hills,42.373622,-71.069533,42.300523,-71.113686,1712.0325443786983
Friday,Fall,Orange,Community College,Green Street,42.373622,-71.069533,42.309832,-71.108059,1519.2572178477687
Friday,Fall,Orange,Community College,Haymarket,42.373622,-71.069533,42.363021,-71.05829,186.46511627906983
Friday,Fall,Orange,Community College,Jackson Square,42.373622,-71.069533,42.323132,-71.099592,1288.913157894737
Friday,Fall,Orange,Community College,Malden Center,42.373622,-71.069533,42.426662,-71.074314,733.6604774535809
Friday,Fall,Orange,Community College,Massachusetts Avenue,42.373622,-71.069533,42.340927,-71.084188,959.9632545931756
Friday,Fall,Orange,Community College,North Station,42.373622,-71.069533,42.365577,-71.06129,97.64175257731964
Friday,Fall,Orange,Community College,Oak Grove,42.373622,-71.069533,42.437735000000004,-71.070875,899.9359756097558
Friday,Fall,Orange,Community College,Roxbury Crossing,42.373622,-71.069533,42.330671,-71.096121,1184.655263157895
Friday,Fall,Orange,Community College,Ruggles,42.373622,-71.069533,42.33649,-71.089684,1069.9763157894736
Friday,Fall,Orange,Community College,State,42.373622,-71.069533,42.358978,-71.057598,308.8031088082902
Friday,Fall,Orange,Community College,Stony Brook,42.373622,-71.069533,42.317062,-71.104248,1414.8657894736841
Friday,Fall,Orange,Community College,Sullivan Square,42.373622,-71.069533,42.383975,-71.076994,143.91863517060392
Friday,Fall,Orange,Community College,Tufts Medical Center,42.373622,-71.069533,42.349662,-71.063917,587.2853403141361
Friday,Fall,Orange,Community College,Wellington,42.373622,-71.069533,42.401507,-71.07715,468.43832020997337
Friday,Fall,Orange,Downtown Crossing,Assembly,42.355517999999996,-71.060225,42.392336,-71.07718,739.9973614775722
Friday,Fall,Orange,Downtown Crossing,Back Bay,42.355517999999996,-71.060225,42.34735,-71.075727,301.5695538057742
Friday,Fall,Orange,Downtown Crossing,Chinatown,42.355517999999996,-71.060225,42.352547,-71.062752,31.926509186351705
Friday,Fall,Orange,Downtown Crossing,Community College,42.355517999999996,-71.060225,42.373622,-71.069533,367.4607329842933
Friday,Fall,Orange,Downtown Crossing,Forest Hills,42.355517999999996,-71.060225,42.300523,-71.113686,1245.7662721893491
Friday,Fall,Orange,Downtown Crossing,Green Street,42.355517999999996,-71.060225,42.309832,-71.108059,1056.8766404199475
Friday,Fall,Orange,Downtown Crossing,Haymarket,42.355517999999996,-71.060225,42.363021,-71.05829,113.93994778067886
Friday,Fall,Orange,Downtown Crossing,Jackson Square,42.355517999999996,-71.060225,42.323132,-71.099592,826.3315789473684
Friday,Fall,Orange,Downtown Crossing,Malden Center,42.355517999999996,-71.060225,42.426662,-71.074314,1165.8590425531909
Friday,Fall,Orange,Downtown Crossing,Massachusetts Avenue,42.355517999999996,-71.060225,42.340927,-71.084188,497.5826771653543
Friday,Fall,Orange,Downtown Crossing,North Station,42.355517999999996,-71.060225,42.365577,-71.06129,199.4842931937173
Friday,Fall,Orange,Downtown Crossing,Oak Grove,42.355517999999996,-71.060225,42.437735000000004,-71.070875,1316.0366972477068
Friday,Fall,Orange,Downtown Crossing,Roxbury Crossing,42.355517999999996,-71.060225,42.330671,-71.096121,722.0736842105264
Friday,Fall,Orange,Downtown Crossing,Ruggles,42.355517999999996,-71.060225,42.33649,-71.089684,607.3947368421052
Friday,Fall,Orange,Downtown Crossing,State,42.355517999999996,-71.060225,42.358978,-71.057598,30.104166666666668
Friday,Fall,Orange,Downtown Crossing,Stony Brook,42.355517999999996,-71.060225,42.317062,-71.104248,952.2842105263157
Friday,Fall,Orange,Downtown Crossing,Sullivan Square,42.355517999999996,-71.060225,42.383975,-71.076994,576.5868421052635
Friday,Fall,Orange,Downtown Crossing,Tufts Medical Center,42.355517999999996,-71.060225,42.349662,-71.063917,122.80104712041884
Friday,Fall,Orange,Downtown Crossing,Wellington,42.355517999999996,-71.060225,42.401507,-71.07715,900.7710526315792
Friday,Fall,Orange,Forest Hills,Assembly,42.300523,-71.113686,42.392336,-71.07718,1996.5880758807587
Friday,Fall,Orange,Forest Hills,Back Bay,42.300523,-71.113686,42.34735,-71.075727,850.5331564986737
Friday,Fall,Orange,Forest Hills,Chinatown,42.300523,-71.113686,42.352547,-71.062752,1109.4468085106382
Friday,Fall,Orange,Forest Hills,Community College,42.300523,-71.113686,42.373622,-71.069533,1632.0215633423184
Friday,Fall,Orange,Forest Hills,Downtown Crossing,42.300523,-71.113686,42.355517999999996,-71.060225,1195.6773333333335
Friday,Fall,Orange,Forest Hills,Green Street,42.300523,-71.113686,42.309796,-71.107988,98.07161803713527
Friday,Fall,Orange,Forest Hills,Haymarket,42.300523,-71.113686,42.363021,-71.05829,1380.4650537634411
Friday,Fall,Orange,Forest Hills,Jackson Square,42.300523,-71.113686,42.323132,-71.099592,369.62005277044847
Friday,Fall,Orange,Forest Hills,Malden Center,42.300523,-71.113686,42.426662,-71.074314,2421.7923497267757
Friday,Fall,Orange,Forest Hills,Massachusetts Avenue,42.300523,-71.113686,42.340892,-71.084124,707.9681697612732
Friday,Fall,Orange,Forest Hills,North Station,42.300523,-71.113686,42.365577,-71.06129,1465.7466307277627
Friday,Fall,Orange,Forest Hills,Oak Grove,42.300523,-71.113686,42.437735000000004,-71.070875,2561.5625
Friday,Fall,Orange,Forest Hills,Roxbury Crossing,42.300523,-71.113686,42.33064,-71.09604,484.34656084656075
Friday,Fall,Orange,Forest Hills,Ruggles,42.300523,-71.113686,42.336451,-71.089635,582.4444444444446
Friday,Fall,Orange,Forest Hills,State,42.300523,-71.113686,42.358978,-71.057598,1296.6166219839142
Friday,Fall,Orange,Forest Hills,Stony Brook,42.300523,-71.113686,42.317062,-71.104248,209.84960422163587
Friday,Fall,Orange,Forest Hills,Sullivan Square,42.300523,-71.113686,42.383975,-71.076994,1836.597297297298
Friday,Fall,Orange,Forest Hills,Tufts Medical Center,42.300523,-71.113686,42.349662,-71.063917,998.409574468085
Friday,Fall,Orange,Forest Hills,Wellington,42.300523,-71.113686,42.401507,-71.07715,2157.2513513513504
Friday,Fall,Orange,Green Street,Assembly,42.309796,-71.107988,42.392336,-71.07718,1881.8484042553202
Friday,Fall,Orange,Green Street,Back Bay,42.309796,-71.107988,42.34735,-71.075727,726.125
Friday,Fall,Orange,Green Street,Chinatown,42.309796,-71.107988,42.352547,-71.062752,986.751958224543
Friday,Fall,Orange,Green Street,Community College,42.309796,-71.107988,42.373622,-71.069533,1511.1481481481483
Friday,Fall,Orange,Green Street,Downtown Crossing,42.309796,-71.107988,42.355517999999996,-71.060225,1073.0471204188482
