service_date,gtfs_route_id,gtfs_route_desc,route_category,mode_type,otp_numerator,otp_denominator,cancelled_numerator,month,route_short_name,route_long_name
2022-08-23,23,Key Bus Route (Frequent Service),Key Bus,Bus,477,606,0,22Aug,23,Ashmont Station - Ruggles Station via Washington Street
2022-08-23,225,Local Bus,Other Bus,Bus,305,391,0,22Aug,225,Weymouth Landing - Quincy Center Station
2022-08-22,CR-Shuttle003,Rail Replacement Bus,Other Bus,Bus,29,32,0,22Aug,NA,NA
2022-08-23,Green-E,Rapid Transit,Green Line,Rail,10026.83457,16647.73386,0,22Aug,E,Green Line E
2022-08-23,505,Express Bus,Other Bus,Bus,61,100,0,22Aug,505,Waltham Center - Federal Street & Franklin Street
2022-08-23,504,Express Bus,Other Bus,Bus,125,235,0,22Aug,504,Watertown Yard - Federal Street & Franklin Street
2022-08-23,95,Local Bus,Other Bus,Bus,211,267,0,22Aug,95,West Medford or Arlington Center - Sullivan Square Station
2022-08-23,504,Express Bus,Other Bus,Bus,116,182,0,22Aug,504,Watertown Yard - Federal Street & Franklin Street
2022-08-23,95,Local Bus,Other Bus,Bus,106,138,0,22Aug,95,West Medford or Arlington Center - Sullivan Square Station
2022-08-22,CR-Shuttle003,Rail Replacement Bus,Other Bus,Bus,9,11,0,22Aug,NA,NA
2022-08-23,501,Express Bus,Other Bus,Bus,144,225,0,22Aug,501,Brighton Center - Federal Street & Franklin Street
2022-08-23,Green-D,Rapid Transit,Green Line,Rail,11476.78424,14443.39481,0,22Aug,D,Green Line D
2022-08-23,225,Local Bus,Other Bus,Bus,128,176,0,22Aug,225,Weymouth Landing - Quincy Center Station
2022-08-23,94,Local Bus,Other Bus,Bus,218,252,0,22Aug,94,Medford Square - Davis Station
2022-08-22,CR-Shuttle002,Rail Replacement Bus,Other Bus,Bus,15,17,0,22Aug,NA,NA
2022-08-23,501,Express Bus,Other Bus,Bus,41,66,0,22Aug,501,Brighton Center - Federal Street & Franklin Street
2022-08-23,Green-D,Rapid Transit,Green Line,Rail,14806.20682,19089.2392,0,22Aug,D,Green Line D
2022-08-23,222,Local Bus,Other Bus,Bus,180,281,0,22Aug,222,East Weymouth - Quincy Center Station
2022-08-23,94,Local Bus,Other Bus,Bus,77,104,0,22Aug,94,Medford Square - Davis Station
2022-08-22,CR-Shuttle002,Rail Replacement Bus,Other Bus,Bus,24,25,0,22Aug,NA,NA
2022-08-23,50,Local Bus,Other Bus,Bus,90,138,0,22Aug,50,Cleary Square - Forest Hills Station
2022-08-23,Green-C,Rapid Transit,Green Line,Rail,6003.313074,6922.387883,0,22Aug,C,Green Line C
2022-08-23,222,Local Bus,Other Bus,Bus,67,101,0,22Aug,222,East Weymouth - Quincy Center Station
2022-08-23,93,Local Bus,Other Bus,Bus,179,247,0,22Aug,93,Sullivan Square Station - Downtown via Bunker Hill Street
2022-08-23,93,Local Bus,Other Bus,Bus,58,116,0,22Aug,93,Sullivan Square Station - Downtown via Bunker Hill Street
2022-08-23,92,Local Bus,Other Bus,Bus,134,171,0,22Aug,92,Sullivan Square Station - Downtown via Main Street
2022-08-23,92,Local Bus,Other Bus,Bus,40,75,0,22Aug,92,Sullivan Square Station - Downtown via Main Street
2022-08-23,91,Local Bus,Other Bus,Bus,59,90,0,22Aug,91,"Sullivan Square Station - Central Square, Cambridge"
2022-08-23,91,Local Bus,Other Bus,Bus,171,206,0,22Aug,91,"Sullivan Square Station - Central Square, Cambridge"
2022-08-23,90,Local Bus,Other Bus,Bus,46,98,0,22Aug,90,Davis Station - Assembly Row
2022-08-23,90,Local Bus,Other Bus,Bus,26,62,0,22Aug,90,Davis Station - Assembly Row
2022-08-23,9,Local Bus,Other Bus,Bus,314,442,0,22Aug,9,City Point - Copley Station
2022-08-23,9,Local Bus,Other Bus,Bus,443,633,0,22Aug,9,City Point - Copley Station
2022-08-23,89,Local Bus,Other Bus,Bus,152,215,0,22Aug,89,Clarendon Hill or Davis Station - Sullivan Square Station
2022-08-23,89,Local Bus,Other Bus,Bus,294,384,0,22Aug,89,Clarendon Hill or Davis Station - Sullivan Square Station
2022-08-23,88,Local Bus,Other Bus,Bus,391,502,0,22Aug,88,Clarendon Hill - Lechmere Station
2022-08-23,88,Local Bus,Other Bus,Bus,159,193,0,22Aug,88,Clarendon Hill - Lechmere Station
2022-08-23,87,Local Bus,Other Bus,Bus,402,561,0,22Aug,87,Clarendon Hill or Arlington Center - Lechmere Station
2022-08-23,87,Local Bus,Other Bus,Bus,155,222,0,22Aug,87,Clarendon Hill or Arlington Center - Lechmere Station
2022-08-23,86,Local Bus,Other Bus,Bus,325,448,0,22Aug,86,Sullivan Square Station - Reservoir Station
2022-08-23,86,Local Bus,Other Bus,Bus,180,244,0,22Aug,86,Sullivan Square Station - Reservoir Station
2022-08-23,85,Local Bus,Other Bus,Bus,23,30,0,22Aug,85,Spring Hill - Kendall/MIT Station
2022-08-23,85,Local Bus,Other Bus,Bus,25,34,0,22Aug,85,Spring Hill - Kendall/MIT Station
2022-08-23,83,Local Bus,Other Bus,Bus,249,286,0,22Aug,83,"Rindge Avenue - Central Square, Cambridge"
